hotel_name,neighborhood,url,description
Relais & Châteaux Hotel Orfila,"Chamberi, Madrid",https://www.booking.com/hotel/es/relais-chateaux-orfila.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=9279401_203698989_0_2_0&highlighted_blocks=9279401_203698989_0_2_0&matching_block_id=9279401_203698989_0_2_0&sr_pri_blocks=9279401_203698989_0_2_0__418638&from=searchresults,"Hotel Orfila is situated in Madrid’s Chamberí District, less than 200 metres from Alonso Martinez and Colón Metro Stations. Set in a 19th-century palace, it features a restaurant and tea room.

Rooms at Hotel Orfila are spacious and feature elegant, traditional décor with antique furniture.  Each room has a TV and a minibar.

The hotel’s restaurant El Jardin de Orfila, by the Michelin-awarded chef Mario Sandoval, serves a range of Mediterranean cuisine and local food. The tea room has access to the Orfila’s terrace and gardens.

Other facilities available include meeting and conference rooms.

The Prado and Reina Sofia Museums can be reached in approximately 25 minutes walking whilst the Retiro Park is 1 km from the hotel. Plaza Colón is 400 metres away. Bernabéu Football Stadium and Milla de Oro can be reached in around 5 minutes by car.

Prado Museum and Thysen Museum are 7 minutes away by bus. The property offers airport transfer service for an additional cost."
B&B HOTEL Madrid Carabanchel,"Carabanchel, Madrid",https://www.booking.com/hotel/es/b-amp-b-madrid-carabanchel.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=1309369201_403726776_2_2_0&highlighted_blocks=1309369201_403726776_2_2_0&matching_block_id=1309369201_403726776_2_2_0&sr_pri_blocks=1309369201_403726776_2_2_0__47880&from=searchresults,"Conveniently set in the Carabanchel district of Madrid, B&B HOTEL Madrid Carabanchel is located 6.7 km from Puerta de Toledo, 6.9 km from Atocha Train Station and 7.1 km from Reina Sofia Museum. This 2-star hotel offers a 24-hour front desk. Free WiFi is available and private parking can be arranged at an extra charge.

The hotel will provide guests with air-conditioned rooms offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a shower. All units will provide guests with a minibar.

B&B HOTEL Madrid Carabanchel offers a buffet or American breakfast.

Mercado San Miguel is 7.7 km from the accommodation, while Plaza Mayor is 7.7 km away. Adolfo Suarez Madrid-Barajas Airport is 21 km from the property."
Apartamentos Adelfas,"Retiro, Madrid",https://www.booking.com/hotel/es/apartamentos-adelfdas.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=39516712_88209049_0_0_0&highlighted_blocks=39516712_88209049_0_0_0&matching_block_id=39516712_88209049_0_0_0&sr_pri_blocks=39516712_88209049_0_0_0__49622&from=searchresults,"These modern and stylish apartments offer free WiFi. They are located 3 Metro stops from the historic centre of Madrid, and 8 minutes’ walk from Pacífico and Conde de Casal Metro Stations.

Adelfas apartments feature smart, contemporary décor and some offer a balcony. All include a lounge area with plasma TV, sofa bed and a dining table, while kitchens have a washing machine, microwave and hob.

There are several bars, restaurants and shops within 10 minutes’ walk of the apartments and the Retiro Park and famous Art Triangle are around 2.5 km away.

Apartamentos Adelfas offer private parking for a fee and are 15 km from Madrid-Barajas Airport. You can reach the Méndez Álvaro Bus Station on foot in 15 minutes."
Elba Madrid Alcalá,"San Blas, Madrid",https://www.booking.com/hotel/es/velada-madrid.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=9340615_335654223_0_2_0&highlighted_blocks=9340615_335654223_0_2_0&matching_block_id=9340615_335654223_0_2_0&sr_pri_blocks=9340615_335654223_0_2_0__97109&from=searchresults,"Elba Madrid Alcalá is ideally located between the city centre and Madrid IFEMA congress centre.

All the spacious rooms offer plenty of natural light, high-speed WiFi, flat-screen TV and private bathroom with hairdryer and toiletries.

Located on the ground floor, the restaurant offers Mediterranean food and local dishes. There is also a café bar and a dining room. Buffet breakfast is served daily.

Restaurants and shops can be found within walking distance, but the Elba Madrid Alcalá is also located 5-minutes’ walk away from the metro station Ciudad Lineal, offering access to the city centre in 15 minutes."
Apartamentos Juan Bravo,"Salamanca, Madrid",https://www.booking.com/hotel/es/apartamentos-juan-bravo.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=1241006_360204409_2_0_0&highlighted_blocks=1241006_360204409_2_0_0&matching_block_id=1241006_360204409_2_0_0&sr_pri_blocks=1241006_360204409_2_0_0__82810&from=searchresults,"The Juan Bravo Apartments are situated in the exclusive Salamanca district of Madrid and feature a communal swimming pool, open in summer. Diego de León Metro Station is located opposite the apartments.

The complex conveniently includes a 24-hour reception. The apartments and studios are arranged around the pool, and there is also a small garden and patio.

All accommodation comes with a lounge area and TV. Apartamentos Juan Bravo feature a kitchenette equipped with a microwave and fridge. They also have a private bathroom.

Many bars, restaurants and supermarkets can be found in the surrounding streets.

The M30 and M40 Motorways are just 2 minutes’ drive from the apartments, providing easy access to other cities. Barajas Airport is a 15-min drive away. Parking is available on site for an extra cost."
Espahotel Plaza Basílica,"Tetuan, Madrid",https://www.booking.com/hotel/es/espahotel-plaza-basilica.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=27439201_373768709_2_0_0&highlighted_blocks=27439201_373768709_2_0_0&matching_block_id=27439201_373768709_2_0_0&sr_pri_blocks=27439201_373768709_2_0_0__95950&from=searchresults,"Espahotel Plaza Basílica is located 10 minutes’ walk from Real Madrid’s Santiago Bernabéu Stadium in Madrid’s financial district. It offers modern apartments with Wi-Fi connection and satellite TV.

All Plaza Basílica apartments are equipped with air conditioning and heating. The bedrooms and living rooms feature carpeted floors.

The bathrooms come with a hairdryer and bathroom amenities. In the kitchens there is a hob.

Staff at the hotel’s 24-hour reception can provide information about what to see and do in Madrid. There are also car rental and currency exchange services available.

Espahotel Plaza Basílica is 400 metres from the Corte Inglés and 14 minutes' walk from Santiago Bernabéu stadium. There is a variety of restaurants in the surrounding streets. Madrid’s Convention Centre, the Palacio de Congresos, is 10 minutes’ walk away."
Market Martinez de la Riva I,"Puente de Vallecas, Madrid",https://www.booking.com/hotel/es/apartamentos-mercado-martinez-de-la-riva.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=1100929701_403688919_2_0_0&highlighted_blocks=1100929701_403688919_2_0_0&matching_block_id=1100929701_403688919_2_0_0&sr_pri_blocks=1100929701_403688919_2_0_0__44750&from=searchresults,"Set in Madrid, 3.3 km from Atocha Train Station and 3.5 km from El Retiro Park, Market Martinez de la Riva I offers air conditioning. The property is situated 4.6 km from Plaza Mayor, 4.6 km from Thyssen-Bornemisza Museum and 4.7 km from Puerta de Toledo. Free WiFi is available throughout the property and Reina Sofia Museum is 3.2 km away.

The recently renovated apartment is fitted with 1 bedroom, a TV and a fully equipped kitchen that provides guests with a microwave, a toaster, a washing machine, a fridge and a stovetop. The accommodation is non-smoking.

Mercado San Miguel is 4.8 km from the apartment, while Gran Via Metro Station is 4.8 km from the property. Adolfo Suarez Madrid-Barajas Airport is 12 km away."
Hostal Macarena,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-macarena.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=48279002_372583563_0_0_0&highlighted_blocks=48279002_372583563_0_0_0&matching_block_id=48279002_372583563_0_0_0&sr_pri_blocks=48279002_372583563_0_0_0__84000&from=searchresults,"With an ideal location in the centre of Madrid, Hostal Macarena is in front of Arcos de Cuchilleros in the Plaza Mayor Square. Puerta del Sol is 5 minutes’ walk away.

This guest house has a 24-hour reception and free WiFi throughout. There is a seating area with armchairs and a drinks vending machine.

All of its rooms have air conditioning, a safe and  TV.  They also have a private bathroom with hairdryer and free toiletries. Some rooms have a balcony with views of the city. The well-equipped rooms were renovated in 2015.

There are numerous bars, restaurants and shops in the area. Calle Mayor Street is 170 metres away. Puerta del Sol metro and railway station is 650 metres away."
Hostal Palacio Luna,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-palacio-luna-madrid.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=447810203_341335037_2_0_0_484345&highlighted_blocks=447810203_341335037_2_0_0_484345&matching_block_id=447810203_341335037_2_0_0_484345&sr_pri_blocks=447810203_341335037_2_0_0_484345_90500&from=searchresults,"Set within 400 metres of Gran Via Metro Station and 1.3 km of Thyssen-Bornemisza Museum, Hostal Palacio Luna offers rooms with air conditioning and a private bathroom in Madrid. This 3-star guest house offers a lift and full-day security. The property is 300 metres from Gran Via, and within 500 metres of the city centre.

The units at the guest house feature private entrance and soundproofing so guests can enjoy a peaceful stay. Featuring a private bathroom with a shower and a hair dryer, units at the guest house also have free WiFi, while certain rooms also offer a balcony. At the guest house, units are equipped with bed linen and towels.

Sightseeing tours are available within easy reach.

Popular points of interest near the guest house include Plaza de España Metro Station, Temple of Debod and Royal Palace of Madrid. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 13 km from Hostal Palacio Luna."
Dear Hotel Madrid,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/dear.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCzbHVvAbAAgHSAiQ4Y2JhNGQwYy1lMGQ2LTQ0NmQtYmM2OS1mY2U1NWU1NGI4YjbYAgXgAgE&sid=6ca34bc93033f5e70847421a6b2f00c7&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e19c989b888e00da&srepoch=1737841434&all_sr_blocks=137682301_363286250_2_2_0_346247&highlighted_blocks=137682301_363286250_2_2_0_346247&matching_block_id=137682301_363286250_2_2_0_346247&sr_pri_blocks=137682301_363286250_2_2_0_346247_173537&from=searchresults,"Located 1 minute's walk from Plaza de España Metro Station on Gran Via, Dear Hotel Madrid offers boutique accommodation in central Madrid. The hotel features a rooftop plunge pool, terrace and restaurant.

Featuring free high-speed WiFi, each stylish bright room is air-conditioned and fitted with a 40-inch flat-screen TV with satellite channels. All the spacious rooms are soundproofed and include a safe, a minibar with free mineral water, a speaker for smartphones, and tea and coffee making facilities. Private bathrooms include a rain shower, bathrobe, slippers and exclusive free toiletries.

Set on the 14th floor, the Nice to Meet You Restaurant & Lounge offers contemporary and cosmopolitan cuisine in a relaxed atmosphere. Guests can enjoy cocktails and music, with spectacular panoramic views of Madrid. An exclusive buffet breakfast is also offered.

Other services available include a room service.

You can walk to Royal Palace of Madrid in 10 minutes. Puerta del Sol and Plaza Mayor are a 15-minute walk. Adolfo Suárez Madrid-Barajas is 21 km away."
